,Title,Year,Worldwide,Domestic
1218,Blackboards,2002,41772,23520
1219,A Rumor of Angels,2002,38610,38610
1220,All About Lily Chou-Chou,2002,38082,26485
1221,Gangster No. 1,2002,30915,30915
1222,Teddy Bears' Picnic,2002,28149,28149
1223,"Massoud, the Afghan 2002 Re-release",2002,26747,26747
1224,Quitting,2002,25717,18531
1225,The Isle,2002,24963,20666
1226,Horses: The Story of Equus,2002,24716,
1227,Liars Club,2002,23792,23792
1228,Esther Kahn,2002,23371,23371
1229,Cuba feliz,2002,22071,22071
1230,Master of the Flying Guillotine,2002,21779,21779
1231,Crazy as Hell,2002,21679,21679
1232,"Sia, the Dream of the Python",2002,19830,4662
1233,Devils on the Doorstep,2002,18944,18944
1234,Love and a Bullet,2002,18926,18926
1235,Hell House,2002,18279,18279
1236,Scarlet Diva,2002,18062,18062
1237,Night at the Golden Eagle,2002,17643,17643
1238,A Skin Too Few: The Days of Nick Drake,2002,17384,17384
1239,Vulgar,2002,15927,15927
1240,Bobby G. Can't Swim,2002,15900,15900
1241,Last Dance,2002,15515,15515
1242,Pipe Dream,2002,15430,15430
1243,Keeper of the Flame,2002,15392,
1244,The Next Big Thing,2002,14600,14600
1245,The Settlers,2002,14556,14556
1246,Lansdown,2002,12614,12614
1247,Shaye & Kiki,2002,12000,12000
1248,Yellow Asphalt,2002,11907,11907
1249,Smokers Only,2002,11871,11871
1250,Janice Beard,2002,11816,11816
1251,Crop Circles: Quest for Truth,2002,11562,11562
1252,The Mesmerist,2002,11422,11422
1253,Family Fundamentals,2002,11344,11344
1254,Love in the Time of Money,2002,10410,10410
1255,Revolution #9,2002,10133,10133
1256,Take Care of My Cat,2002,9866,9866
1257,Il Posto,2002,9080,9080
1258,The Rising Place,2002,8360,8360
1259,The Dogwalker,2002,7420,7420
1260,Group,2002,7281,7281
1261,Buddha Heads,2002,6739,6739
1262,Forty Guns,2002,6344,
1263,All My Loved Ones,2002,6237,6237
1264,The Phantom of Liberty,2002,6172,6172
1265,The First $20 Million Is Always the Hardest,2002,5491,5491
1266,Perfect Pie,2002,5000,5000
1267,Secret Society,2002,4725,4725
1268,My Kingdom,2002,4296,4296
1269,Hera Purple,2002,4123,4123
1270,Caravaggio,2002,3774,3774
1271,Revolution OS,2002,3500,3500
1272,Looking Through Lillian,2002,3300,3300
1273,A Cuban Legend,2002,3212,3212
1274,Tattoo Bar,2002,2964,2964
1275,Ash Wednesday,2002,2942,2942
1276,Dead or Alive: Final,2002,2591,2591
1277,Standing by Yourself,2002,2500,2500
1278,Zig Zag,2002,2418,2418
1279,Virgil Bliss,2002,2219,2219
1280,The 4th Tenor,2002,2152,2152
1281,Stripped,2002,2151,2151
1282,Stealing the Fire,2002,2139,2139
1283,Some Body,2002,2042,2042
1284,Choice of Weapons,2002,2032,2032
1285,Mr. Smith Gets a Hustler,2002,1915,1915
1286,By Hook or by Crook,2002,1802,1802
1287,The Opera Lover,2002,1798,1798
1288,Mama Africa,2002,1581,1581
1289,Blackwoods,2002,1500,1500
1290,Heartbreak Hospital,2002,1480,1480
1291,The Execution of Wanda Jean,2002,1386,1386
1292,Besotted,2002,1379,1379
1293,The Jimmy Show,2002,1000,1000
1294,The Lonely Affair of the Heart,2002,932,932
1295,The Lord of the Rings: The Return of the King,2003,1140682011,377027325
1296,Finding Nemo,2003,871014978,339714978
1297,The Matrix Reloaded,2003,739412035,281576461
1298,Pirates of the Caribbean: The Curse of the Black Pearl,2003,654264015,305413918
1299,Bruce Almighty,2003,484592874,242829261
1300,The Last Samurai,2003,454627263,111127263
1301,Terminator 3: Rise of the Machines,2003,433371112,150371112
1302,The Matrix Revolutions,2003,427343298,139313948
1303,X2: X-Men United,2003,407711549,214949694
1304,Bad Boys II,2003,273339556,138608444
1305,Something's Gotta Give,2003,265328738,124728738
1306,Charlie's Angels: Full Throttle,2003,259175788,100830111
1307,The Village,2003,256697520,114197520
1308,Brother Bear,2003,250397798,85336277
1309,Hulk,2003,245285165,132177234
1310,"Love, Actually",2003,244931766,59696144
1311,2 Fast 2 Furious,2003,236350661,127154901
1312,American Wedding,2003,232722935,104565114
1313,Scary Movie 3,2003,220673217,110003217
1314,Elf,2003,220443451,173398518
1315,Master and Commander: The Far Side of the World,2003,211622535,93927920
1316,S.W.A.T.,2003,207725639,116934650
1317,Spy Kids 3-D: Game Over,2003,197011982,111761982
1318,Anger Management,2003,195745823,135645823
1319,Cheaper by the Dozen,2003,190212113,138614544
1320,The Haunted Mansion,2003,182290266,75847266
1321,Kill Bill: Vol. 1,2003,180899045,70099045
1322,The League of Extraordinary Gentlemen,2003,179265204,66465204
1323,Daredevil,2003,179179718,102543518
1324,How to Lose a Guy in 10 Days,2003,177502387,105813373
1325,The Italian Job,2003,176070171,106128601
1326,Cold Mountain,2003,173013509,95636509
1327,Bringing Down the House,2003,164729679,132716677
1328,Daddy Day Care,2003,164433867,104297061
1329,Freaky Friday,2003,160846332,110230332
1330,Johnny English,2003,160466000,28082366
1331,Lara Croft Tomb Raider: The Cradle of Life,2003,160099222,65660196
1332,Mystic River,2003,156595191,90135191
1333,Seabiscuit,2003,148336445,120277854
1334,Gothika,2003,141591324,59694580
1335,Mona Lisa Smile,2003,141337989,63860942
1336,The Jungle Book 2,2003,135703599,47901582
1337,The Cat in the Hat,2003,133960541,101149285
1338,School of Rock,2003,131095614,81261177
1339,"Legally Blonde 2: Red, White & Blonde",2003,124914842,90186328
1340,Big Fish,2003,123218424,66809693
1341,Peter Pan,2003,121975011,48462608
1342,Intolerable Cruelty,2003,120801243,35327628
1343,Lost in Translation,2003,118685453,44585453
1344,Paycheck,2003,117248958,53790451
1345,Freddy vs. Jason,2003,116632628,82622655
1346,The Texas Chainsaw Massacre,2003,107071655,80571655
1347,Just Married,2003,101564935,56127162
1348,The Recruit,2003,101191884,52802140
1349,Once Upon a Time in Mexico,2003,98096026,56359780
1350,Phone Booth,2003,97837138,46566212
1351,Underworld,2003,95708457,51970690
1352,Calendar Girls,2003,93400759,31041759
1353,Final Destination 2,2003,90941129,46961214
1354,Identity,2003,90259536,52159536
1355,Kangaroo Jack,2003,88929111,66934963
1356,Shanghai Knights,2003,88323487,60476872
1357,Old School,2003,87135520,75585093
1358,Tears of the Sun,2003,86468162,43734876
1359,Sinbad: Legend of the Seven Seas,2003,80773077,26483452
1360,The Rundown,2003,80657921,47726342
1361,Runaway Jury,2003,80154140,49443628
1362,Good Bye Lenin!,2003,79316957,4064200
1363,Bad Santa,2003,76488889,60060328
1364,Dreamcatcher,2003,75715436,33715436
1365,The Core,2003,73498611,31186896
1366,Holes,2003,71406573,67406573
1367,Looney Tunes: Back in Action,2003,68514844,20991364
1368,Open Range,2003,68296293,58331254
1369,Stuck on You,2003,65784503,33832741
1370,Matchstick Men,2003,65565672,36906460
1371,Taxi 3,2003,65497208,497208
1372,Jeepers Creepers 2,2003,63102666,35667218
1373,Piglet's Big Movie,2003,62870546,23103423
1374,Honey,2003,62228395,30308417
1375,21 Grams,2003,60427839,16290476
1376,Under the Tuscan Sun,2003,58878723,43610723
1377,Agent Cody Banks,2003,58795814,47938330
1378,Monster,2003,58469210,34469210
1379,Cradle 2 the Grave,2003,56489558,34712347
1380,The Lizzie McGuire Movie,2003,55534455,42734455
1381,Out of Time,2003,55495563,41088845
1382,Rugrats Go Wild,2003,55250496,39402572
1383,Radio,2003,53293628,52333738
1384,Hollywood Homicide,2003,51142659,30940691
1385,What a Girl Wants,2003,50732139,36105433
1386,National Security,2003,50097949,36381186
1387,Secondhand Lions,2003,48249017,42070939
1388,Darkness Falls,2003,47488536,32551396
1389,Torque,2003,46546197,21215059
1390,The Hunted,2003,46061847,34244097
1391,Good Boy,2003,45312217,37667746
1392,Uptown Girls,2003,44617342,37182494
1393,A Man Apart,2003,44350926,26736098
1394,Timeline,2003,43935763,19481943
1395,Basic,2003,42792561,26793311
1396,Whale Rider,2003,41062976,20779666
1397,Down with Love,2003,39468111,20305251
1398,Dumb and Dumberer: When Harry Met Lloyd,2003,39267515,26276465
1399,The Life of David Gale,2003,38955598,19955598
1400,Head of State,2003,38620484,38125247
1401,The Missing,2003,38364277,27011180
1402,Bulletproof Monk,2003,37713879,23358708
1403,Malibu's Most Wanted,2003,34622504,34432201
1404,The Medallion,2003,34268701,22219192
1405,The Fighting Temptations,2003,33972062,30250745
1406,Girl with a Pearl Earring,2003,33030115,11670971
1407,Cabin Fever,2003,30553394,21158188
1408,Laws of Attraction,2003,30031874,17871255
1409,Luther,2003,29413900,5791328
1410,Bugs!,2003,29388999,19063544
1411,Cold Creek Manor,2003,29119434,21386011
1412,Wrong Turn,2003,28650575,15418790
1413,Ruby & Quentin,2003,27720972,312824
1414,The In-Laws,2003,26891849,20453431
1415,In America,2003,25382911,15539656
1416,Dickie Roberts: Former Child Star,2003,23769505,22738671
1417,In the Cut,2003,23726793,4750602
1418,Biker Boyz,2003,23510621,22076772
1419,Confidence,2003,23014206,12251640
1420,The Human Stain,2003,22954068,5381908
1421,Swimming Pool,2003,22441497,10130108
1422,Ghosts of the Abyss,2003,22141539,17040871
1423,Love Don't Cost a Thing,2003,21964072,21924226
1424,The Barbarian Invasions 2003 Re-release,2003,21815430,3435749
1425,Ong-Bak: The Thai Warrior,2003,20235426,4563167
1426,View from the Top,2003,19526014,15614000
1427,Duplex,2003,19322135,9692135
1428,Deep Blue,2003,19288261,132261
1429,A Mighty Wind,2003,18750246,17781006
1430,My Boss's Daughter,2003,18191005,15550605
1431,Deliver Us from Eva,2003,17573594,17573594
1432,A Guy Thing,2003,17432163,15545431
1433,House of 1000 Corpses,2003,16829545,12634962
1434,House of Sand and Fog,2003,16763804,13040288
1435,Dogville,2003,16680836,1535286
1436,Facing Windows,2003,15530077,543354
1437,Zelary,2003,15461305,330033
1438,Alex & Emma,2003,15368897,14218698
1439,The Dreamers,2003,15121165,2532228
1440,Oldboy,2003,14980005,707481
1441,The Triplets of Belleville,2003,14776760,7007149
1442,Together with You,2003,14687167,1151941
1443,How to Deal,2003,14390329,14195227
1444,Touching the Void,2003,13885802,4593598
1445,House of the Dead,2003,13818181,10249719
1446,Anything Else,2003,13585075,3212310
1447,The Lord of the Rings: The Two Towers 2003 Re-release,2003,13451150,1996877
1448,Kal Ho Naa Ho,2003,13200241,1991922
1449,The Barbarian Invasions,2003,13065317,5109226
1450,The Divorce,2003,12991996,9081057
1451,Gods and Generals,2003,12923936,12882934
1452,"Remember Me, My Love",2003,12671306,227986
1453,Chasing Papi,2003,12661189,6130049
1454,Winged Migration 2003 Re-release,2003,12634963,10764402
1455,Seducing Doctor Lewis,2003,12504038,9354342
1456,Monsieur Ibrahim,2003,12364836,2823890
1457,Koi... Mil Gaya,2003,12168232,671372
1458,Dark Blue,2003,12150301,9250301
1459,Beyond Borders,2003,11705002,4430101
1460,The Cooler,2003,10464788,8291572
1461,Thirteen,2003,10128960,4601043
1462,Elephant,2003,10012022,1266955
1463,My Life Without Me,2003,9726954,400948
1464,The Young Black Stallion,2003,9638389,6751389
1465,Veronica Guerin,2003,9439660,1571504
1466,Après Vous,2003,8852763,830292
1467,18 ans après,2003,8785730,25611
1468,The Station Agent,2003,8679814,5739376
1469,Love Me If You Dare,2003,8561371,553504
1470,Willard,2003,8546666,6886089
1471,It Runs in the Family,2003,8211508,7491839
1472,American Splendor,2003,7986084,6010990
1473,Fanfan,2003,7949963,32686
1474,Baghban,2003,7885479,1058803
1475,Tupac: Resurrection,2003,7808524,7718961
1476,The Flower of Evil,2003,7587959,182163
1477,Spellbound,2003,7457710,5728581
1478,I'm Not Scared,2003,7354418,1615328
1479,Gigli,2003,7266209,6087542
1480,"Spring, Summer, Fall, Winter... and Spring",2003,6959791,2380788
1481,Santa vs. the Snowman 3D 2003 Re-release,2003,6952764,3045032
1482,Father and Sons,2003,6935839,634968
1483,Mambo Italiano 2003 Re-release,2003,6590962,3205730
1484,I Capture the Castle,2003,6586341,1179035
1485,Ned Kelly,2003,6585516,86959
1486,Bon voyage,2003,6536601,148727
1487,The Company,2003,6401690,2283914
1488,High Tension,2003,6291958,3681066
1489,Main Prem Ki Diwani Hoon,2003,6290342,1232228
1490,Warriors of Heaven and Earth,2003,6106178,82936
1491,Rosenstrasse,2003,6075609,734519
1492,Chalte Chalte,2003,5945422,836225
1493,The Hero: Love Story of a Spy,2003,5835846,285394
1494,Strange Gardens,2003,5793539,78668
1495,The Good Thief,2003,5756945,3517797
1496,Nicotina,2003,5751007,1117864
1497,The Real Cancun,2003,5345083,3825421
1498,Intermission,2003,5175215,896993
1499,Grind,2003,5141166,5123696
1500,L'auberge espagnole 2003 Re-release,2003,5079086,2830361
1501,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,2003,5038841,4198566
1502,Alien 2003 Director's Cut,2003,4999112,1986910
1503,From Justin to Kelly,2003,4928883,4928883
1504,The Magdalene Sisters 2003 Re-release,2003,4734466,4583889
1505,The Return,2003,4429093,504256
1506,Laurel Canyon,2003,4412203,3663356
1507,Caterina in the Big City,2003,4285937,296464
1508,"Good Morning, Night",2003,4234655,10093
1509,Japanese Story,2003,4095954,647054
1510,Capturing the Friedmans,2003,4076990,3119113
1511,The Visual Bible: The Gospel of John,2003,4069090,4069090
1512,Step Into Liquid,2003,4041588,3681803
1513,Osama,2003,3888902,1270904
1514,Better Luck Tomorrow,2003,3809226,3802390
1515,The Secret Lives of Dentists,2003,3764286,3707346
1516,Ju-on: The Grudge,2003,3657876,325680
1517,"Lucía, Lucía",2003,3653588,269586
1518,Bhoot,2003,3640472,106774
1519,Pieces of April,2003,3272028,2528664
1520,Strayed,2003,3184020,482757
1521,Munna Bhai M.B.B.S.,2003,3137716,48772
1522,Incantato,2003,3082196,108954
1523,Mambo Italiano,2003,3047296,3047296
1524,The Mother,2003,3039587,1063163
1525,Cowboy Bebop: The Movie,2003,3007903,1000045
1526,Pinocchio Italian Version,2003,2995810,8586
1527,Shattered Glass,2003,2944752,2220008
1528,My Architect,2003,2920081,2750707
1529,Sylvia,2003,2917393,1315498
1530,Bright Young Things,2003,2905499,933637
1531,Raising Victor Vargas,2003,2816116,2078661
1532,The Best of Youth,2003,2693053,274024
1533,In Your Name,2003,2663172,
1534,Camp,2003,2650356,1629862
1535,Russian Ark Canadian Release,2003,2610711,684034
1536,It's Easier for a Camel...,2003,2590219,16150
1537,Young Adam,2003,2561820,767373
1538,Wonderland,2003,2466444,1060512
1539,Crime Spree,2003,2451607,
1540,The Matrix Reloaded 2003 IMAX Release,2003,2423288,
1541,Journey,2003,2377609,2377609
1542,DysFunktional Family,2003,2255000,2255000
1543,Kuch Naa Kaho,2003,2185360,224831
1544,Armaan,2003,2174005,301010
1545,Sur le seuil,2003,2014071,2014071
1546,Red Nose,2003,2004814,2004814
1547,Wilbur Wants to Kill Himself,2003,1873482,235294
1548,The Legend of Johnny Lingo,2003,1690767,1690767
1549,"The Book of Mormon Movie, Volume 1: The Journey",2003,1680020,1680020
1550,Marci X,2003,1675706,1648818
1551,Since Otar Left,2003,1634307,350391
1552,Northfork,2003,1599804,1420578
1553,Hope Springs,2003,1567189,
1554,Out of Control,2003,1553195,36486
1555,The Gathering,2003,1346475,
1556,Darna Mana Hai,2003,1335493,132348
1557,Noi the Albino,2003,1317132,60555
1558,Kontroll,2003,1277800,237183
1559,City of Ghosts,2003,1277187,357197
1560,Bubba Ho-Tep,2003,1239183,1239183
1561,Alexandra's Project,2003,1217812,752148
1562,Owning Mahowny,2003,1176302,1011871
1563,Jet Lag 2003 Re-release,2003,1112018,544964
1564,The R.M.,2003,1111615,1111615
1565,Snowboarder,2003,1090565,27732
1566,The Statement,2003,1079822,765637
1567,A Tale of Two Sisters,2003,1045252,72541
1568,Pinjar,2003,1022336,66290
1569,Assassination Tango,2003,1013272,1013272
1570,Valentin 2003 Re-release,2003,1002172,275968
1571,Who Killed Bambi?,2003,973173,14532
1572,Gaz Bar Blues,2003,884664,884664
1573,The Other Side of the Bed 2003 Re-release,2003,866250,113543
1574,The Shape of Things,2003,826617,735992
1575,Party Monster,2003,782606,742898
1576,Foolproof,2003,779036,458990
1577,Broken Wings,2003,760318,421454
1578,Uzak,2003,757008,96293
1579,Scarface 2003 Re-release,2003,739905,739905
1580,Levity,2003,723040,209695
1581,Spun,2003,685608,411119
1582,The Inheritance 2003 Re-release,2003,642318,68215
1583,Beautiful Boxer,2003,638317,133920
1584,LOC: Kargil,2003,621103,621103
1585,The Butterfly 2003 Re-release,2003,616355,38438
1586,Blue Collar Comedy Tour: The Movie,2003,604856,604856
1587,The Holy Land,2003,603520,603520
1588,A Talking Picture,2003,601815,20237
1589,The Piano Player,2003,585604,585604
1590,All the Real Girls,2003,579986,549666
1591,Tibet: Cry of the Snow Lion,2003,578241,578241
1592,Blizzard,2003,576320,504600
1593,The Weather Underground,2003,564632,564632
1594,Poolhall Junkies,2003,563711,563711
1595,Masked and Anonymous,2003,546106,533569
1596,Passionada,2003,540833,540833
1597,Lawless Heart,2003,539596,330067
1598,Evil,2003,528245,15530
1599,Dil Ka Rishta,2003,526571,352128
1600,Casa de los babys,2003,525715,478031
1601,The Cremaster Cycle,2003,522029,514622
1602,Hawayein,2003,521260,409978
1603,Memories of Murder,2003,514579,15357
1604,Time of the Wolf,2003,499149,61439
1605,Blue Car,2003,476551,465310
1606,Reconstruction,2003,471107,73516
1607,The Legend of Suriyothai,2003,458564,454736
1608,Lockdown,2003,449482,449482
1609,Modern Times 2003 Re-release,2003,443427,163577
1610,It's All About Love,2003,443400,6140
1611,Dorm Daze,2003,436365,56127
1612,The Singing Detective,2003,435625,337174
1613,Amandla! A Revolution in Four Part Harmony,2003,418941,405331
1614,Imagining Argentina,2003,383106,8899
1615,Blind Spot. Hitler's Secretary,2003,378382,378382
1616,Pride and Prejudice,2003,377271,377271
1617,Annie Brocoli dans les fonds marins,2003,374360,374360
1618,The Animation Show,2003,366344,366344
1619,Scorched,2003,363057,8000
1620,How My Mother Gave Birth to Me During Menopause,2003,353275,353275
1621,Yossi & Jagger,2003,351707,267005
1622,Billabong Odyssey,2003,345708,156000
1623,In This World,2003,322097,84299
1624,"Die, Mommie, Die!",2003,320092,320092
1625,The Gatekeeper,2003,312434,312434
1626,The Trip,2003,306567,306567
1627,Khushi,2003,305205,305205
1628,Bonhoeffer,2003,296181,296181
1629,The Heart of Me,2003,282519,196067
1630,The Battle of Shaker Heights,2003,280351,280351
1631,Stander,2003,272791,31651
1632,Raja,2003,262643,13000
1633,Stone Reader,2003,260523,260523
1634,Gerry,2003,254683,254683
1635,Civil Brand,2003,254293,254293
1636,May,2003,249300,150277
1637,The Far Side of the Moon,2003,235926,235926
1638,Blue Gate Crossing,2003,226067,6242
1639,Bus 174,2003,222247,217201
1640,Two Men Went to War,2003,217151,150208
1641,Postmen in the Mountains,2003,203975,203975
1642,Japón,2003,196702,21900
1643,Alila,2003,193385,50961
1644,Lost Boys of Sudan,2003,188467,188467
1645,The Sea,2003,176401,75994
1646,Marooned in Iraq,2003,174357,141243
1647,Hangman's Curse,2003,168406,168406
1648,Twentynine Palms,2003,167999,54523
1649,On_Line,2003,167102,167102
1650,Red Betsy,2003,164520,164520
1651,The Fassbinder Series,2003,162885,162885
1652,Bulgarian Lovers,2003,161027,60712
1653,Gigantic (A Tale of Two Johns),2003,160621,160621
1654,Washington Heights,2003,160291,160291
1655,Km. 0 - Kilometer Zero,2003,159338,159338
1656,House of Fools,2003,157613,57862
1657,Suddenly,2003,153985,44806
1658,The Revolution Will Not Be Televised,2003,153859,153859
1659,Stoked: The Rise and Fall of Gator,2003,150268,150268
1660,Tokyo Godfathers,2003,148355,129560
1661,Girls Will Be Girls,2003,148047,148047
1662,Zu Warriors,2003,141084,
1663,Super Sucker,2003,137628,137628
1664,Concert for George,2003,134600,134600
1665,Hukkle,2003,132745,53715
1666,1+1=11,2003,132498,132498
1667,Touchez Pas au Grisbi,2003,131548,131548
1668,Son frère,2003,131195,22834
1669,Friends and Family,2003,127212,127212
1670,Green Card Fever,2003,125596,125596
1671,I Vitelloni 2003 Re-release,2003,120343,116428
1672,Fellini: I'm a Born Liar,2003,119217,106686
1673,Love the Hard Way,2003,111350,44391
1674,XX/XY,2003,104130,104130
1675,Stevie,2003,103401,103401
1676,Emerald Cowboy,2003,101358,101358
1677,Dum,2003,101000,101000
1678,A Woman Is a Woman,2003,100665,100665
1679,Autumn Spring 2003 Re-release,2003,96269,96269
1680,The Hebrew Hammer,2003,94615,82157
1681,Prey for Rock & Roll,2003,86277,58040
1682,Where's the Party Yaar?,2003,85739,85739
1683,Anything But Love,2003,81451,81451
1684,Free Radicals,2003,80371,1443
1685,Made-Up,2003,79766,79766
1686,The Princess Blade,2003,77567,77567
1687,How the West Was Won 2003 Re-release,2003,76729,76729
1688,New Suit,2003,71743,71743
1689,The Dummy,2003,71646,71646
1690,Todo el poder,2003,70920,70920
1691,Manic,2003,69958,69958
1692,Mga munting tinig,2003,69739,69739
1693,Dopamine,2003,69544,69544
1694,What Alice Found,2003,67436,67436
1695,Blind Shaft,2003,65383,33272
1696,Only the Strong Survive,2003,63778,57581
1697,Down and Out with the Dolls,2003,60000,60000
1698,The Young Unknowns,2003,59166,59166
1699,Eyes Without a Face,2003,58565,58565
1700,Springtime in a Small Town,2003,57751,43017
1701,Kart Racer,2003,56146,56146
1702,Unknown Pleasures,2003,55901,11254
1703,Dracula: Pages from a Virgin's Diary,2003,55365,55365
1704,Boys Life 4: Four Play,2003,53169,53169
1705,Heremakono,2003,53048,7406
1706,Herod's Law,2003,52000,52000
1707,A Family Affair,2003,50075,50075
1708,AKA,2003,49988,49988
1709,Confusion of Genders 2003 Re-release,2003,49237,49237
1710,Au Hasard Balthazar,2003,45406,45406
1711,Secret Lives: Hidden Children and Their Rescuers During WWII,2003,42390,42390
1712,My Flesh and Blood,2003,40573,40573
1713,Power Trip,2003,39359,39359
1714,Girlhood,2003,37977,37977
1715,Bollywood/Hollywood 2003 Re-release,2003,37962,37962
1716,Millennium Actress,2003,37641,37641
1717,This Thing of Ours,2003,37227,37227
1718,From Here to Eternity,2003,36416,36416
1719,The Event,2003,35554,35554
1720,Hotel,2003,34971,29813
1721,A Decade Under the Influence,2003,34837,34837
1722,Martin & Orloff,2003,34222,34222
1723,Glowing Eyes,2003,31653,31653
1724,Sans Soleil,2003,30878,30878
1725,Under the Skin of the City,2003,30666,30666
1726,Gang of Roses,2003,30497,30497
1727,Big Girls Don't Cry,2003,29361,1238
1728,Teknolust,2003,28811,28811
1729,P.S. Your Cat Is Dead!,2003,28454,28454
1730,Beyond Vanilla,2003,27396,27396
1731,Everybody Says I'm Fine!,2003,27225,27225
1732,9 Dead Gay Guys,2003,26377,26377
1733,Rana's Wedding,2003,24930,10604
1734,Luster,2003,24137,24137
1735,American Storytellers,2003,24082,24082
1736,Almost Salinas,2003,21419,21419
1737,The Guys,2003,21366,21366
1738,"Float Like a Butterfly, Sting Like a Bee",2003,20073,20073
1739,The Journey,2003,19800,19800
1740,Garmento,2003,19402,19402
1741,Venus Boyz 2003 Re-release,2003,18515,18515
1742,Hidden in Plain Sight,2003,16803,16803
1743,Cuban Rafters 2003 Re-release,2003,16783,16783
1744,Medea,2003,16714,16714
1745,The Intended,2003,16290,8106
1746,Onmyoji: The Yin Yang Master,2003,16234,16234
1747,Wattstax,2003,16000,16000
1748,7th Street,2003,15629,15629
1749,Abouna,2003,15476,3290
1750,Khachaturian,2003,15084,15084
1751,The Anarchist Cookbook,2003,14369,14369
1752,The Slaughter Rule,2003,13411,13411
1753,The Legend of Leigh Bowery,2003,11989,11989
1754,Manfast,2003,11480,11480
1755,Love Forbidden 2003 Re-release,2003,11421,11421
1756,Camera Obscura,2003,11384,11384
1757,Cinemania,2003,11305,11305
1758,Gasoline,2003,11023,11023
1759,Manito,2003,11000,11000
1760,Nola,2003,10550,10550
1761,"L'Chayim, Comrade Stalin",2003,9397,9397
1762,Acts of Worship,2003,9377,9377
1763,Missing Young Woman,2003,8858,8858
1764,Zero Day,2003,8466,8466
1765,Suspended Animation,2003,8169,8169
1766,In the Mirror of Maya Deren,2003,8077,8077
1767,No Turning Back,2003,8042,8042
1768,The Scoundrel's Wife,2003,8018,8018
1769,Witness for the Prosecution,2003,7693,
1770,Controlled Chaos,2003,7549,7549
1771,Pursuit of Happiness,2003,6850,6850
1772,Forget Baghdad: Jews and Arabs - The Iraqi Connection,2003,6151,3741
1773,The Calling 2003 Re-release,2003,6092,6092
1774,"La Commune (Paris, 1871)",2003,5340,5340
1775,Home Room,2003,5216,5216
1776,"Vendetta: No Conscience, No Mercy",2003,5161,5161
1777,Kira's Reason: A Love Story,2003,4847,4847
1778,High Times Potluck,2003,4827,4827
1779,Chaos,2003,4608,4608
1780,Jersey Guy,2003,4268,4268
1781,Melvin Goes to Dinner,2003,4168,4168
1782,Ordinary Sinner,2003,4083,4083
1783,Bawandar,2003,3779,3779
1784,Dr. Benny,2003,3657,3657
1785,Warrior of Light,2003,3617,3617
1786,Journeys with George,2003,3588,3588
1787,Sister Helen,2003,3541,3541
1788,Short Eyes,2003,3456,3456
1789,The Work and the Story,2003,3233,3233
1790,The Backyard,2003,3200,3200
1791,Dischord,2003,2199,2199
1792,Hell's Highway: The True Story of Highway Safety Films,2003,2171,2171
1793,Enemies of Laughter,2003,2000,2000
1794,Blindness,2003,1602,1602
1795,Wash Dry and Spin Out,2003,1570,1570
1796,Independent Spirits: Faith Hubley/John Hubley,2003,1551,1551
1797,The Ballad of Bering Strait,2003,1440,1440
1798,El Leyton,2003,1332,1332
1799,Exorcism,2003,1303,1303
1800,A House on a Hill,2003,984,984
1801,Shrek 2,2004,928760770,441226247
1802,Harry Potter and the Prisoner of Azkaban,2004,795634069,249541069
1803,Spider-Man 2,2004,788976453,373585825
1804,The Incredibles,2004,631442092,261441092
1805,The Passion of the Christ,2004,611486736,370274604
1806,The Day After Tomorrow,2004,552639571,186740799
1807,Meet the Fockers,2004,522657936,279261160
1808,Troy,2004,497409852,133378256
1809,Shark Tale,2004,374583879,160861908
1810,Ocean's Twelve,2004,362744280,125544280
1811,"I, Robot",2004,353133898,144801023
1812,National Treasure,2004,347512318,173008894
1813,Van Helsing,2004,300157638,120177084
1814,The Bourne Supremacy,2004,290633422,176241941
1815,The Polar Express,2004,286000505,162775358
1816,Bridget Jones: The Edge of Reason,2004,265126918,40226215
1817,Howl's Moving Castle,2004,235347345,4711096
1818,Fahrenheit 9/11,2004,222446882,119194771
1819,Collateral,2004,220926695,101005703
1820,The Terminal,2004,219100084,77872883
1821,Million Dollar Baby,2004,216763646,100492203
1822,The Aviator,2004,213719942,102610330
1823,Lemony Snicket's A Series of Unfortunate Events,2004,211468235,118634549
1824,King Arthur,2004,203567857,51882244
1825,Garfield,2004,203172417,75369589
1826,50 First Dates,2004,198520934,120908074
1827,The Grudge,2004,187281115,110359362
1828,Scooby-Doo 2: Monsters Unleashed,2004,181216833,84216833
1829,Along Came Polly,2004,178311729,88097164
1830,Alien vs. Predator,2004,177427090,80282231
1831,Starsky & Hutch,2004,170268750,88237754
1832,Shall We Dance,2004,170128460,57890460
1833,Dodgeball: A True Underdog Story,2004,168423227,114326736
1834,Alexander,2004,167298192,34297191
1835,The Phantom of the Opera,2004,154648887,51268815
1836,Kill Bill: Vol. 2,2004,154116796,66208183
1837,Home on the Range,2004,145358062,50030461
1838,The SpongeBob SquarePants Movie,2004,140192993,85417988
1839,The Princess Diaries 2: Royal Engagement,2004,134734481,95170481
1840,Blade: Trinity,2004,131977904,52411906
1841,Man on Fire,2004,130834852,77911774
1842,Mean Girls,2004,130125829,86058055
1843,Resident Evil: Apocalypse,2004,129342769,51201453
1844,Ray,2004,123971376,75331600
1845,The Forgotten,2004,117592831,67133509
1846,Finding Neverland,2004,116650613,51680613
